choice_id,milestone_id,object_name,route_id,timestamp,trace_id,session_id,player_id,session_start_time,session_end_time,state_SCORE_COMMUNITY_WARNING,state_SCORE_HELP_SEEKING,state_SCORE_INFORMATION_VERIFICATION,state_SCORE_PRESSURE_RESISTANCE,state_SCORE_RISK_RECOGNITION,email,trace_category
1,0,m0_email_checkin,CH1_M0_R0_BB_1,2026-05-31 10:46:42.748,TRACE_READ_RELEVANT_INFO,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,70.0,62.0,62.0,53.0,player9@gmail.com,safe
1,0,m0_guard,CH1_M0_R0_BB_3,2026-05-31 10:48:06.665,TRACE_ASK_PERSON,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,70.0,67.0,62.0,56.0,player9@gmail.com,safe
1,0,m0_linh_askgroup,CH1_M0_R0_BB_4,2026-05-31 10:50:37.397,TRACE_ASK_PERSON,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,70.0,70.0,62.0,63.0,player9@gmail.com,safe
2,0,m1_roommate_askdoc,CH1_M0_R0_BB_13,2026-05-31 10:59:26.096,TRACE_ASK_PERSON,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,70.0,73.0,68.0,68.0,player9@gmail.com,safe
1,1,m1_link_freedoc,CH1_M1_R2_BB_2,2026-05-31 11:00:41.443,TRACE_OPEN_UNVERIFIED_LINK,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,75.0,75.0,68.0,68.0,player9@gmail.com,risky
3,1,m2_shipper_call,CH1_M1_R0_BB_3,2026-05-31 11:03:57.900,TRACE_ASK_PERSON,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,58.0,75.0,75.0,68.0,68.0,player9@gmail.com,safe
2,2,m2_shipper_call,CH1_M2_TC_1,2026-05-31 11:04:26.794,TRACE_DELAY_ACTION,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,58.0,80.0,77.0,68.0,68.0,player9@gmail.com,safe
2,2,m2_shipper_call,CH1_M2_R2_BB_1,2026-05-31 11:04:49.265,TRACE_REFUSE_RISKY_REQUEST,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,58.0,80.0,82.0,68.0,71.0,player9@gmail.com,safe
1,2,m2_app_checkorder,CH1_M2_R2_BB_2,2026-05-31 11:04:54.918,TRACE_INSPECT_SOURCE,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,58.0,80.0,85.0,74.0,76.0,player9@gmail.com,safe
3,2,m3_namchat_borrowmoney,CH1_M2_R0_BB_3,2026-05-31 11:06:00.734,TRACE_DETECT_RED_FLAG,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,50.0,50.0,50.0,50.0,player9@gmail.com,safe
3,3,m3_namchat_borrowmoney,CH1_M3_TC_1,2026-05-31 11:06:22.593,TRACE_REFUSE_RISKY_REQUEST,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,50.0,52.0,50.0,50.0,player9@gmail.com,safe
1,3,m3_namchat_Mai,CH1_M3_TC_2,2026-05-31 11:06:30.735,TRACE_ASK_PERSON,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,55.0,54.0,50.0,50.0,player9@gmail.com,safe
2,3,m3_classgroup,CH1_M3_R0_BB_2,2026-05-31 11:07:00.335,TRACE_WARN_OTHERS,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,60.0,56.0,50.0,50.0,player9@gmail.com,safe
3,3,m4_email_scholarship_askroomate,CH1_M3_R0_BB_5,2026-05-31 11:10:01.404,TRACE_ASK_PERSON,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,65.0,58.0,50.0,50.0,player9@gmail.com,safe
1,4,m4_email_scholarship,CH1_M4_R3_BB_1,2026-05-31 11:10:16.619,TRACE_INSPECT_SOURCE,1fb026953dc846bc97dd4e7d57f23e00,vYmu30ZTOHbjiC4mPuaw73q6pZf1,2026-05-31 10:45:54.262,2026-05-31 11:11:29.933,50.0,65.0,54.0,50.0,48.0,player9@gmail.com,safe
